English,Italian
FLANGE FAN,FLANGIA FAN
CLOSED BASE 300X800X450,BASE CHIUSA 300MM H450
LABEL_HEATER ON/OFF_GB/JAVA,ETICHETTA
HEAT GUARD,PROTEZIONE DAL CALORE
TOOL ASSY BPO45,GRUPPO UTENSILI BPO45
RIGHT HINGE,CERNIERA DX
LEG RUBBER PAD,PIEDE
SLIDING BEARING,CUSCINETTO DI SCORRIMENTO
THERMOSTAT 115-300°C,TERMOSTATO 115-300°C
"FUNNEL AY,SMOKE-QUICK BREW(TW",IMBUTO CAFFE
CABLE FAN-FAN,CAVO FAN-FAN
BLOCKAGE UNIT,GRUPPO INTERBLOCCO
PSF50 BOWL,PSF50 CIOTOLA
WATER TEMPERATURE GAUGE,INDICATORE DI TEMPERATURA DELL'ACQUA
USE 3031205,USARE 3031205
GREASE ALIMENTARY,GRASSO ALIMENTARE
FAN (304,VENTILATORE
ROOF,TOP
DOOR TD6-10/PD6-8LE,PORTA
SWITCH BOARD,QUADRO ELETTRICO
STEAM COUPLING,GIUNTO DI RACCORDO VAPORE
"DOUGH DIVIDER-ROUNDER,AUTOMAT,1300PCS/H","SPEZZA-ARROTONDATRICE AUTOMAT,,1300 PZ/H"
FUSE SET 10PCS,FUSIBILE SET 10PCS
SPINDLE ASS,ASS ALBERINO
ELECTRICAL BOX WELDING,SCATOLA PER COMP ELET
SQUARE TUBE,TRAVERSA L=425
INSERT PLUGG,TAPPO
"GLASS GASKET OES6,10","GUARNIZIONE VETRO OES6,10"
PROGRAM MEMORY,MEMORIA PROGRAMMA
FAN COMPLETE,VENTILATORE COMPLETO FTN ZONA ASCIUGATUR
COMPRESSOR H101CC,COMPRESSORE H101CC
DISPLAY GLASS,INDICATORE VELOCITA
"GYROS-KNIFE ELECTRIC,Ø80MM","COLTELLO ELETTRICO PER GYROS,Ø80MM"
DRAIN TANK,VASCHETTA DI SCARICO
SLICING PLATE TR250,DISCO FETTE
COIL SOLENOID 180V(DELTROL),ELETTROVALVOLA
PIPE ASS,CONDUTTURA ASS
STEAM PIPE 875MM,TUBO VAPORE 875MM
FAT FILTER,FILTRO GRASSI
"EL,FRYTOP,RIBBED PL,1S,BSPL,800X800X700H",FRY TOP RIGATO EL MODULO 1 LATO C/ALZ
FLAT BELT,CINGHIA
TORSION SPRING RIGHT,MOLLA DI TORSIONE DESTRA
GASKET SPW130SX,GUARNIZIONE POMPA SPW130SX
"100LT GAS BOIL,PAN-INDIR,HEAT,AUTOM","PENTOLA GAS 100LT-RISC,INDIR,-RIEMP,AUT"
"MAGNET,STIRRER",MAGNETE
"MULTIRINSE RT,150R/H,ELEC,DELIME,R>L,HP","LS CESTO TRAS,150C/H,ELET,D>S,POMPA CAL"
FLOW LIMITER,LIMITATORE DI FLUSSO
"PLATFORM SCALE,AUTOMATIC,600KG/200GR","BILICO A PAVIMENTO,AUTOMAT,,600KG/200GR"
HINGE DOOR,CERNIERA DOOR
CAPILLARY TUBE L=1000MM,CAPILLARE L=1000MM SENZA APRIVALVOLA
DEFLECTOR,DEFLETTORE
FILTER GASKET,GUARNIZIONE CON FILTRO
MICROSWITCH E5301C,MICROINTERRUTTORE E5301C
DOUBLE ELECTRODE BURN,ELETTRODO
ADAPTER,ADATTATORE
SMOOTH CAM,CAMMA LISCIA
THERMOSTAT CS113/115,TERMOSTATO
JOINT FEMALE,GIUNTO FEMMINA
ELECTRIC BOX,SCATOLA PER COMP ELET
"REPL,= 0780056571",RISCONTRO CHIUSURA
GASKET L=2550MM,GUARNIZIONE FONDO MTH L=2550MM
BLOCK VALVE,VALVOLA DI BLOCCO
CRANKCASE ASS B3M,CARTER ASS B3M
SCRAPER LOWER,RASCHIETTO LOWER
POLYESTER FILTER,FILTRO OLIO IN POLIESTERE
GASKET 725X1871MM,GUARNIZIONE 725X1871MM
WHITE CABLED LED,CAVO
HOOD EQUIPE MB40,CAPPOTTA EQUIPE MB40
"REPL,= 077018025565",STEUERUNG KOCHKESSEL BOT
CABLE TILT,CAVO TILT
BUTTON GRIGIO FC,TASTO PULSANTE GRIGIO FC
SUPPORT COMPLETE TRK2,SUPPORTO COMPLETE TRK2
SUPPORT FML,SUPPORTO
TIME RELAY,RELE' A TEMPO
SILICON 280 CC,SILICONE 280 CC
DOORSPRING LEFT,MOLLA A SINISTRA
CHROME GRID SE60,GRIGLIA CROMATA SE60
HD BOILER BOARD,SCHEDA DI POTENZA
GASKET 1PC=1100MM,GUARNIZIONE ADESIVA 1PZ=1100MM
LID GN1/1,COPERCHIO GN1/1
"ALUM,LINEAR SHELV,-POLY,TIERS-475X2404MM","SC,LINEARI ALLUM,RIP,POLYETH-475X2404MM"
"REPL,= 077019011211",CAVO
MAGNETIC CABLE,"CAVO MAGNETICO D,6 MGN INGR"
"U-DISK 6,4X18,0X1,6",DISCO
DOOR LOCK ASSY,ASSIEME SICUREZZA BLOCCO PORTA
LC-FILTER,FILTRO LC
PLASTIC CAP,"TAPPO TRASPARENTE D,30"
"CORD,1,5MM MM^2CEE7/7EUR","CAVO ALIMENTAZIONE 1,5MM CE"
"EL,PASTA COOK,1X20L,1S,BSPL,400X900X700H","CUOCIPASTA EL,,20LT,1 LATO,ALZATINA,H700"
GRINDER HOUSING,ALLOGGIAMENTO
"CAP,GRIND,1""-14 THREAD",CALOTTA
GREEN LIGHT 24V,LUCE VERDE 24V
"CUPBOARD BASE,GN,2 DOOR,1-S,800X850X450H","VANO ARMADIATO,GN,2PORTE,1L,800XH450"
DUNNAGE RACKS,PEDANA ALIMENTARE
TIPPER,SUPPORTO
"REPL,= 0700232251",DRUCKBOLZEN CHROM
THERMOSTAT 300°,TERMOSTATO
OIL SEAL CORTECO,PARAOLIO CORTECO
FEG SNAP WHEEL,RUOTA A SCATTO FEG
STIRRUP KIT,STAFFA CON TAPPO IN GOMMA PER RIPIANO IN LEGNO KIT 4PZ
"REPL,= 077481839200","KERNTEMP,-F HLER"
WASHER D5,RONDELLA PIANA INOX D5
VALVE CONTROLLER,CONTROLLER VALVOLA
CLEANER 80Z,DETERGENTE
FAN EU/UK/USA,VENTILATORE
DISPENSER INLET,DOSATORE
"COMPRESSOR H403CC,220/240-380/420V","COMPRESSORE H403CC,220/240-380/420V"
"REPL,= 0700247148",POMELLO M 10/45MM
HOOK 35MM,GANCIO 35MM
BEARING 1/4X5/16X3/16,CUSCINETTO
FUSE HOLDER,PORTAFUSIBILE
EJECTOR DISC,DISCO ESPULSORE
TANK COMPLETE,VASCA COMPLETE
"SCREW PNHSLTD Z/WCPL,25-20X,5",VITE
SIDE PLATE,ANODO LATERALE
COVERING XBE20/30,COPERTURA XBE20/30
"REPL,= 077000127192",VALVOLA 24 V
DRAIN GRATE,GRIGLIA DI SCARICO
SMART PROBE,SONDA SMART
M42 TRAY,VASSOIO
SUPPORT ASSY,SUPPORTO ASSY
TBF010SC3 LED 24V,SEGNALATORE TBF010SC3 ARANCIO LED 24V
MOTOR 12V 50HZ,MOTORE 12V 50HZ
LABEL_GROUND SYMBOL,ETICHETTA
SIPHON VERTICAL,SIFONE VERTICAL
PCB 3-P,SCHEDA TRIFASE
GUIDE RING,ANELLO DI GUIDA
WATER INLET BRACKET,SQUADRETTA
LABEL_WIRING DIAGRAM_P-400GNB,ETICHETTA
"NOZZLE DIAM,2,75","UGELLO DIAM,2,75"
"EL,FRYTOP,RIBBED PL,1-SIDE,400X900X250H","FRYTOP EL PIASTRA RIGATA,1 LATO H250"
"WORK TOP,CLOSED,1S,BACKSPL,1500X900X250H","ELEMENTO NEUTRO CHIUSO,1L,ALZ,1500XH250"
SPACER SCREW,VITE
CENTRIFUGAL PUMP,POMPA
VALVE DISPENSE,VALVOLA
"REPL,= 19012677",ACCENDITORE PIEZO
FRICTION RING,DISCO
WASH ARM ASSEMBLY,ASSIEME BRACCIO LAVAGGIO
CONDENSER 10*4,CONDENSATORE
LID GN1/4,COPERCHIO GN1/4
"EL,FRYTOP,RIBBED PL,1S,BSPL,400X800X250H","FRY TOP RIGATO EL,MEZZO MOD,1LATO C/ALZ"
VALVE CORE,CORPO VALVOLA
FUSE CARTRIDGE 40AMP,PORTAFUSIBILE 40AMP
NUT & WASHER,DADO E RONDELLA
DECAL_CONTROLLER OVERLAY,ETICHETTA
TANK BM40,VASCA BM40
TERMINAL BOX LID,COPERTURA MORSETTIERA
BURNER PIPE PILOT,TUBO BRUCIATORE PILOTA
TILT LOCKING TBX130,BLOCCO RIBALTAMENTO TBX130
CONNECTOR 3/8''-1/2'',CONNETTORE 3/8''-1/2''
"INFRARED TOP,2 ZONES,2-SIDE,500X900X250H",PIANO INFRAROSSO 2 ZONE 2 LATI H250
MICROSWITCH COMPLETE,MICROINTERRUTTORE COMPLETE
CHANNEL EXTENSION,CANALE
"HDPE DN50*3,0-195MM",CONDUTTURA
SMALL DISK,DISCHETTO DI SPESSORAMENTO
"EL,FREE COOK,ST,OVEN,1S,BS,1000X900X700H","PIASTRA EL,FREECOOKING+FORNO STAT,1L,ALZ"
"THERMOSTAT,COLUMBIA*SEE TEXT",TERMOSTATO
"HDPE DN50*3,0-230MM",CONDUTTURA
"ALUM,SHELV,,POLY,TIERS-COLDROOM 243X163","SC IN ALLUM RIP,POLYETH,CELLE 243X163"
"EL,BAINMARIE,2/1GN,TAP(B),1S,800X900X250","BAGNOMARIA EL 2/1,RUB POS,,1L,800XH250"
SCREW,VITE
CONTROLLER PROTECTION,PROTEZIONE TERMOREGOLATORE
BLOCK COMPLETE P3,CARDINE COMPLETE P3
COLUMN RAIL TBM150,BINARIO A COLONNA TBM150
MEMBRANE XBM40,MEMBRANA XBM40
MOBILE FLANGE AF16,FLANGIA MOBILE AF16
"WORK TOP,CLOSED,1-S,BACKSPL,400X800X250H",NEUTRO TOP 400MM 1 LATO C/ALZATINA
SEAL (MODEL EL65,GUARNIZIONE (MODELLO EL65
SEALING BAR,BARRA SALDANTE
GREASE DEFLECTOR BM40,DEFLETTORE GRASSO BM40
"EL,WARM CAB,2DOOR,H2,GN,1S,1000X900X450H","VANO CALDO ELET,,2P,H2,GN,1L,1000XH450"
AIR INLET TUBE,TUBO INGRESSO ARIA
MOTOR CABLE,CAVO MOTORE
BOILER PROBE,SONDA TEMP BOILER
COMPRESSOR E9213GK,COMPRESSORE E9213GK
MICROSWITCH EL25,MICROINTERRUTTORE EL25
"DISPLAY UNIT,REFR,+2+18°C,WINES+CHEESE","VETRINA REFRIG,+2+18°C,VINI+FORMAGGI"
"PASSTH,OPEN BASE,GN,H2,2S,700X800X450H","BASE APERTA PASSANTE 700MM,GN(H2) H450"
DESCALING PIPE,TUBO CARICO DISINCROSTANTE
DRAIN FITTING,GIUNTO DI RACCORDO
"EL,FRYTOP,SMOOTH PL,1S,BSPL,800X900X700","FRYTOP EL,PIAST,LISCIA,1L,ALZ,800MMXH700"
"ALUM,LINEAR SHELV,-POLY,TIERS-475X950MM","SC,LINEARI ALLUM,RIP,POLYETH-475X950MM"
MAGNETRON PROTECTION,PROTEZIONE MAGNETRON
NUT BUCKLE,DADO
FOIL,MEMBRANA ADESIVA
FORK PL80,FORCELLA PL80
TANK ASSEMBLY_POUROVER 220V,VASCA
SPRAY TUBE_BPA-FREE_SIMPLICITY,SPRAY TUBE_BPA-FREE_SEMPLICITY
BEARING BUSH C18X22MMX18MM,BOCCOLA CUSCINETTO C18X22MMX18MM
JOINT EPDM,GIUNTO
SAFETY RING,ANELLO
"OPEN BASE,H2,GN,1-SIDE,600X900X450H",VANO APERTO H2 GN 1 LATO 600XH450
DOOR STRIP,GUARNIZIONE
"FRONT PANEL,890-T,BLACK",PANNELLO
BRACKET REDUCING VALVE,SQUADRETTA
PROTECTION M65,PROTEZIONE DADO M65
"PUMP 0,6HP 230V-50HZ","POMPA 0,6HP 230V-50HZ"
BOX,SCATOLA
"INDUCT,WOK+PLATE,2 ZONE,1-S,500X900X250H","WOK INDUZIONE+PIASTRA,2 ZONE,1LATO H250"
FLANGED FEET KIT,KIT PIEDINI FLANGIATI
BOWL SUPPORT EM80,SUPPORTO VASCHETTA
CABLE GLAND M12,CONNETTORE CAVO M12
CONNECTION BAR,BARRA DI CONNESSIONE
RUBBER HOLDER KIT,PORTAGOMMA KIT
MAIN FUSE,FUSIBILE
DETERGENT BLACK PIPE,TUBO FOOD WATER NERO 110° 5X12
BOTTOM G9 UK,FONDO G9 UK
TUBE Ø=50 L=500,TUBO Ø=50 L=500
DRIP TRAY TDO-N,BACINELLA RACCOGLIGOCCE
USE 3030713,USARE 3030713
THERMOREGULATOR TLW24RRSBR2F,TERMOREGOLATORE TLW24RRSBR2F
AUXILARY CONTACT,CONTATTO AUSILIARIO
CABLE ASSY EL40,GRUPPO CAVO EL40
CBA AXIOM CE,SCHEDA ELETTRONICA
CALIBRATION RING,ANELLO DI CALIBRAZIONE
GASKET 670X565,GUARNIZIONE 670X565
WIRE RVV4*1MM2,CAVO
SCRAPER HORIZONTAL 60LTR,RASCHIETTO ORIZZONTALE 60LTR
CATCH LOCK,SCROCCHETTO
"LENS,SHUTTLE HEATER",PROTEZIONE IN VETRO
TRANSVERSAL ROLL,RULLO
CIRCUIT PLATE,SCHEDA ELETTRONICA
GRILL RILSAN,GRIGLIA RILSAN
DIODE+RESISTOR,RESISTENZA+DIODO
CROSSPIECE L=420MM,TRAVERSA L=420MM
CONTACTOR 4KW,CONTATTORE 4KW
TELETHERMOMETER,TELETERMOSTATO
SCREW M10X70,VITE M10X70
"CONDENSER 1,8KW 230V","CONDENSATORE 1,8KW 230V"
PUMP CASING,ALLOGGIAMENTO POMPA
"MICROWAVE OVEN,DIGITAL,34LT,1100W","FORNO MICROONDE,DIGITALE,34LT,1100W"
"COVER,PIC6 GRAPHIC",COPERTURA
MICROSWITCH ASS,MICROINTERRUTTORE
ESD FAN,VENTILATORE ESD
GASKET TANK HEATER,GUARNIZIONE
CAM MOTOR,MOTORE PER VENTILATORE
LAMP 40W,LAMPADA 40W
BASKET SUPPORT,SUPPORTO CESTO
CAPACITOR 40MF,"CONDENSATORE EL, 40MF"
DRUM SS,CESTO
PIPE COIL,SERPENTINA
"MATCHA FLAVOR DECAL,PIC3T",ETICHETTA ADESIVA
RIGHT PANEL,FIANCO DX SORBY DREAM 1 NERO
GLOWING LAMP,LAMPADA A LUMINESCENZA
CONDENSER 506X301X67MM,CONDENSATORE 506X301X67MM
MXD-M7D CARTER,SUPPORTO
"16 TRAYS+INSUL,LIDS-STD,RECTANG,PLATES",SET DI 16 VASSOI COIBENTATI
INOX SPRING,MOLLA INOX
"EL,WARM CAB,2-DOOR,H2,GN,1S,800X800X550H",BASE ARMADIATA 1PORTA 1LATO800MM-H2-H550
DRAINAGE IQ,TUBO FLESS DI SCARICO
"PLATFORM SCALE,AUTOMATIC,2000KG/500GR","BILICO A PAVIMENTO,AUTOMAT,,2000KG/500GR"
LEFT HINGE ML360CS,CERNIERA SX ML360CS
"SPIRAL MIXER,35KG,1-SPEED,400V","IMPASTATRICE SPIRALE,35KG,1 VEL,400V"
SUPPORT UPPER,SUPPORTO UPPER
DESCALING AGENT,AGENTE DECALCIFICANTE
SHAFT XB20-30,ALBERO FLESIBILE XB20-30
"VEG,PEELER+ABR,CYL,15KG-200-440/3/50-60","PELAP,15KG+CILINDRO ABR 400/3/50-60"
HEATING ELEMENT 240V-1190W,RESISTENZA 240V-1190W
LOCK ARM,BLOCCAGGIO BRACCIO
CARD TIGER,SCHEDA TIGER
SHAFT GASKET,GUARNIZIONE
"CONDENSING TEMP,SENSOR",SENSORE
DOSER BODY PIN,SPINA
YELEK L BEDEN,TAGLIA GILET L
THERMOSTAT BOARD,SCHEDA TERMOSTATO
LINK FOR CHAIN,MAGLIA DI GIUNZIONE
MEASURING CUP,ANELLO ADATTATORE
GT1P FRAME,TELAIO GT1 PUSH
"GAS FRYTOP,RIBBED,1S,BSPL,800X900X800H","FRYTOP GAS,PIAS,RIGATA,1L,ALZ,800MMXH800"
PRINTER INFRARED INTERFACE,STAMPANTE IRDA WIRELESS A INFRAROSSI
"REPL,= 0700282771",GLASSCHEIBE 503X633X6 BLAU
PUSH HANDLE ASSEMBLY_NSF_SUBWAY,MANIGLIA
BOTTOM PART,FONDELLO
"GAS FRYTOP,SMOOTH,1-S,BSPL,400X850X700H","FRYTOP GAS,PIASTRA LISCIA,1LATO,ALZ,H700"
DOOR LATCH,FERMO PORTA
CONTROL PANEL BMXE60,CRUSCOTTO BMXE60
GASKET 30X40X7MM,GUARNIZIONE 30X40X7MM
"ELECTRIC STATIC OVEN,1-SIDE,800X800X550H","BASE FORNO STATICO EL,1LATO H 550"
COVERING ASSY,COPERTURA ASSY
GREEN NEON,NEON VERDE
"WATER MIXING TAP,LEVER,1S,200X900X250","COLONNINA ACQUA CON LEVA,1 LATO H250"
LEVEL TAP,RUBINETTO DI LIVELLO
PLINTH CLIP,CLIP
TERMINAL Y/G,MORSETTO ELETTRICO
POWDER MOTOR,MOTORIDUTTORE PLASTICA 24 DC 90RPM CABL
SPOUT HANDLE,MANIGLIA
SCREW M4*16,VITE M4*16
CONNECTION NIPPLE,TUBO ALIMENTAZIONE
"REPL,= 077482174003",VALVOLA MAGNETICA
DRIP BEND,"RACCORDO CONTENIT,ACQUA PRE"
RESTRICTION PLATE,PIASTRA
"ELBOW,HPR,PICC4SOL,240 DEG",RACCORDO
VARIOUS ACCESSORIES,ACCESSORI VARI
"CUPBOARD BASE,H2,GN,1DR,1S,600X800X450H","BASE ARMADIATA600MM-1P,GN,1LATO(H2)-H450"
TENSIONER BRCKET,SQUADRETTA
PIPE FITTING M9X1-11/32,RACCORDO M9X1-11/32
O-RING 124,ANELLO OR 124
"INSULATION BOT95,300","ISOLANTE BOT95,300"
CHAIN 3/8S,CATENA 3/8S
SCREW M5,VITE M5
WIRING HARNESS LION,CABLAGGIO LION
HOSE L=850MM,TUBO FLESSIBILE L=850MM
PULLEY D68 PSF50,PULEGGIA D68 PSF50
PACKING HANDLE,MANIGLIA IMBALLO NINA 1 IN PLASTICA 160 BIANCA
T HOSE,TUBO A T
SIDE GLASS,VETRO LATERALE
HINGE FOR LID,CERNIERA COPERCHIO
BAND GUIDE,GUIDA BANDA
PROTECTION SUPERIEUR BXR/B2M,PROTEZIONE SUPERIEUR BXR/B2M
HOPPER NM H62,TRAMOGGIA NM H62
BEARING 40X44X20,CUSCINETTO
SECURITY THERMOSTAT,TERMOSTATO DI SICUREZZA
KIT LAMP,KIT LAMPADE UVC L4 48W
CARD READER,LETTORE DI SCHEDE
CONTROL HANDLE,MANIGLIA CONTROL HANDLE
MINI-CONTACTOR,CONTATTORE
BOTTOM FRAME,CORNICE
HINGE RIGHT,CERNIERA DX
"EL,BAINM,1/1GN,TAP(B),1S,BS,400X900X250H","BAGNOMARIA EL 1/1,RUB POS,,1L,ALZ,H250"
PIVOT LOWER,PERNO PARAFETTA INFERIORE
PROTECTIVE HAT,CAPPELLO PROTETTIVO
MIRROR SHEET,DEFLETTORE
"OVERSHELF,HEATED,1500 MM","MENSOLA D'APPOGGIO RISCALDANTE,1500 MM"
LEVEL BOARD_DUAL_KB,SCHEDA
SUPPORT SECURITE TRK2,SUPPORTO SECURITE TRK2
SPRING LO94,MOLLA LO94
"HOLDING CAB,GN,2 DRAW,1S,800X800X550H",BASE CALDA MANTENIMENTO 2CASS 1LATO H550
BEATER RIGHT,PALETTA DX SUPERIORE ARANCIO
"HDPE DN50*3,0-400MM",CONDUTTURA
HANDLE L=260MM,MANIGLIA L=260MM
"EL,SOLID TOP,ST,OV,1S,BS,1000X900X700H","TUTTAPIASTRA ELETT,+FORNO STAT,1LATO,ALZ"
EVAPORATOR COIL,BOBINA EVAPORATORE
HEATING ELEMENT 277V,RESISTENZA 277V
LID L10,COPERCHIO
"REPL,= 0780058246",UGELLO DIA 3
COVER BUTTON,COPRITASTO
HANDLE WELDING,MANIGLIA
CONTACTS HOLDER,SUPPORTO CONTATTO
HEAT DEFLECTOR PLATE,SUPPORTO ISOLANT EQ GRIDDLE
OPTIMIZED LOCKER SPRING,MOLLA CHIUSURA PORTA
"GASKET DIM,24X12X2,5MM",GUARNIZIONE
PUMP KIT UXT,KIT POMPA PER UXT
SAFETM GROUP,GRUPPO SICUREZZA
MIXER CHAMBER,CAMERA DI MISCELAZIONE
FIXED BRACKET,SQUADRETTA
BUSHING 255-368,BOCCOLA RIDUZIONE TESTA 255-368
"REPL,= 077019003285",KIT CAPSULE
CYLINDER COMPL,CILINDRO CPL
"CONTROL,TEMP SPARE PART",TERMOSTATO
CABLE FOCAULT-DISPLAY,CAVO FOCAULT-DISPLAY
DRYER PIECE,PEZZO ASCIUGATRICE
MILK TUBE A1554,TUBETTO
CONTROL TRANSFORMER,TRASFORMATORE DI COMANDO
EXIT END PLATE,TERMINALE DI USCITA
"EL,FRYTOP,RIBBED PL,1-SIDE,400X900X800H","FRYTOP EL PIASTRA RIG,,1 LATO H800"
HOSE C2001,TUBO PER TRAPPOLA ARIA C2001
CONTROL PANEL SIDE,CRUSCOTTO LATERALE
GEAR GROUP,GRUPPO INGRANAGGI
"SCREW 3,5X13MM","VITE AUTOFILETTANTE 3,5X13MM"
THREAD MALE,FILETTO MASCHIO
KARMA FRAME,TELAIO U GO KARMA VERN
COFFEE FILTER 250MM,FILTRO CAFFE
HANDWHEEL 200/15MM,VOLANTINO 200/15MM
"EL,WARM CAB,1-DOOR,H2,GN,1S,500X800X550H",BASE ARMADIATA 1PORTA 1LATO500MM-H2-H550
CABLE SWITCH,CAVO SWITCH
"PASSTH,BASE,H2,GN,2DOORS,2S,500X800X550H",BASE APERTA PASSANTE500MM 2PORTE 2LATI
INSULATING PANEL,PANNELLO ISOLANTE
"REPL,= 077060013129",CESTO FRIGGITRICE
PRESSURE SENSOR KIT,SENSORE DI PRESSIONE KIT
SPOUT BASE COUPLING,RACCORDO BASE CANNA
YELLOW WAX TUBE,TUBO
THERMOSTAT 50-200 C,TERMOSTATO 50-200 C
LOWER SEALING,GUARNIZIONE
DEFROSTING ELEMENT DFAE11,RESISTENZA SBRINAMENTO DFAE11
CAP SHROUD,CALOTTA
BLUE LID,COPERCHIO SORBY DREAM BLU (N
DRAWER ASSY N7EV,CASSETTO ASSY N7EV
SWITCH SUPPORT,SUPPORTO INTERRUTTORE
STEAM HOSE,FLESSIBILE VAPORE
PANEL_BACK_NESTLE_SINGLE,PANNELLO POSTERIORE
CHIMNEY SPACER,DISTANZIALE PER CAMINO
ASS EXHAUST HOOD,ASS CAPPA ASPIRANTE
"REPL,= 077060013128",CESTO FRIGGITRICE
"DISPLAY UNIT,KOMBI-5-18/+4+10°C,2X375LT","VETRINA KOMBI 5-18/+4+10°C,2X375 LT"
"REPL,= 077482577120",PREMISTOPPA
WATER TAP ASS,GRUPPO DOCCIA
"EL,BOILING PAN+TAP,RECT,200L(H),FS,D850","PENTOLA ELETTR,RETT,+RUB,200LT(H)P=850MM"
"NOZZLE DIA,2,40","UGELLO DIA,2,40"
PLATE ELECTRICITY,PIASTRA ELETTRICA
BRUSH CLEANING,PENNELLO PULIZIA
ROD HANDLEBAR,ASTA MANIGLIA
UP HINGE,CERNIERA ALTA
MINUTES COUNTER,CONTAMINUTI 120 MIN
PCB WITH PANEL,SCHEDA ELETTRONICA CON PANNELLO
98°C THERMOSTAT,TERMOSTATO 98 GRADI S/RIARMO
CONDENSER 10*5,CONDENSATORE
"EL,FREE COOK,ST,OVEN,1S,BS,800X850X700H","PIASTRA EL,FREE COOKING +FORNO,1LATO,ALZ"
CARRIAGE GROUP,GRUPPO SPESSIMETRO
KNOB LNR,MANOPOLA LNR
HANDLE 150-200L,MANIGLIA 150-200L
DRUM BEARING COMPL,SUPPORTO DX PER CESTO FAS
"FULL INDUC,CUPB,4ZONE,1S,BS,1000X850X700","INDUZ,AMPIA SUP,4 Z+VANO ARM+ALZ,1L,H700"
PANEL_RIGHT SIDE_NESTLE,PANNELLO LATERALE DX
MOTOR FOR VALVE,MOTORE PER VALVOLA
SPRAY BAR,SPRUZZATORE
"REPL,= 0700203189",ACCENDITORE PIEZO
EYE BOLT,VITE A OCCHIELLO M12X80
ADJUSTMENT SHOE,SUPPORTO SONDA ADJUSTMENT SHOE
"EL,MULTIBRAISER,1/1GN,1SIDE,400X800X800H","BRASIERA EL,MULTIF GN 1/1 1LATO H 800"
CHAIN 3/8,CATENA 3/8
PROBE 50°/+400°C,"SONDA IMMERSIONE/PENETRAZIONE,-50C/+400C"
"NOZZLE Ø1,40","UGELLO Ø1,40"
CONTROL ARM,BRACCIO DI COMANDO
FILTER MARINE 53X150,PANNELLO FILTRANTE AISI 304 53X150
ROD UPPER,ASTA SUPERIORE
SPATULA SET 2PZ,SPATOLA SET 2PZ
DIGITAL MULTIMETER,MULTIMETRO DIGITALE
SPROCKET COVER,COPERTURA PIGNONE
KNIFE AS6X,COLTELLO A PETTINE AS6X
BOTTOM PAD_AUTOFILL_DOUBLE,PANNELLO
"REPL,= 0780054811","SICHERHEITSHAHN ART,-NR 54811"
"BRAKED NOZZLE D,1,90MM","UGELLO FRENATO D,1,90MM"
PRESSURE SENSOR,SENSORE DI PRESSIONE
WHEEL KIT 4PCS,RUOTA KIT 4PZ
COOLING UNIT TAJ4519ZHR,UNITA' REFRIGERANTE TAJ4519ZHR
FAN TOP,VENTILATORE
NUT M4,DADO M4
NUT M8,DADO M8
"VALVE,AUTO EXPANSION",VALVOLA
DOOR LOCK SOLENOID,ELETTROMAGNETE BLOCCA PORTA
PROBE,SONDA
"CARTRIDGE MOD,AX8","CARTUCCIA MOD,AX8"
FOIL UET090,MEMBRANA ADESIVA
COMPONENT PANEL,PIASTRINA COMPONENTI
SHAFT ASSY EL40,GRUPPO ALBERO EL40
GAS SPRING,MOLLA A GAS
NON-TOXIC TUBE,TUBO FLESSIBILE
CONTACT NO,CONTATTO NO
FAN EBM D3,VENTILATORE EBM D3
KIT MOTOR,MOTORE
LABEL_CAUTION_GB/FFW,ETICHETTA
DUO RINSE ARM,BRACCIO RISCIACQUO
BEARING ASSEMBLY,CUSCINETTO ASSIEMATO
OUTER HINGE,CERNIERA ESTERNA
LOCKING DEVICE,MECCANISMO DI CHIUSURA
"PASSTH,BASE,H2,GN,2DR,2SIDE,600X900X450H","VANO PASSANTE,H2,GN,2PORTE,2L,600XH450"
CERAMIC RING,TENUTA CERAMICA
FEED ASSEMBLY,TUBO ALIMENTAZIONE
V-BELT PULLEY,PULEGGIA CINGHIA A V
GAS CYLINDER,MOLLA A GAS
COVERING LH,COPERTURA LH
PIPE FRONT,CONDUTTURA FRONT
FROSTY3 ETL HARNESS,CABLAGGIO FROSTY 3 NERO 2017 115/60 ETL
DECAL_T-PAD_B-3 SERIES,ETICHETTA
SPRING COTTER,SPINA ELASTICA
DISCHARGE CHUTE,SCARICO INCLINATO
"CUPBOARD BASE,H2,GN,1D,1S,400X850X450H","VANO ARMADIATO H2,GN,1PORTA,1L,400XH450"
SUPPLY CABLE RD35VTR,CAVO ALIM TERMOSTATO RD35VTR
GASKET 500X370MM,GUARNIZIONE 500X370MM
LOGO STICKER（G-TEK,ADESIVO
HANDLE ED63,MANIGLIA ED63
"THERMOCREAM,WATER COOLED,5-6LT/MIN,60LT","THERMOCREAM,RAFFR,ACQUA,5-6 LT/MIN,60 LT"
MAIN WASH ARM,BRACCIO
DOOR GLASS-PANEL,CRISTALLO PORTA
LOCK BLOCK,BLOCCHETTO SERRATURA
FILTER BASKET,CESTELLO FILTRO
STEEL SPONGE,PAGLIETTA IN ACCIAIO
"HOOD TYPE,AUTO,INSUL,0-LIME,FILTER,80R/H","LAV,CAPOTTINA,COIBEN ZERO LIME 80 C/H"
INSERTER,INSERTO
"REPL,= 0780051643",TERMOSTATO DI SICUREZZA
PIPE CONNECTOR,RACCORDO CONDUTTURA
